;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
4355;CC=Cc1ccccc1;673.55;33.66;0.341;670.53;33.54;0.34
4356;CSCc1ccccc1;693.22;36.37;0.358;741.02;34.93;0.31
4357;C=COc1ccccc1;655.92;38.21;0.342;637.18;37.05;0.39
4358;OP(O)(O)=O;645.56;78.25;1.654;723.67;51.12;0.39
4359;OS(O)(=O)=O;768.01;111.37;1.258;692.45;51.10;0.36
4360;CC(C)C(OCC=C(C)C)=O;635.31;23.39;0.502;650.38;21.96;0.57
4361;CC(C)(C)OCC1OC1;619.16;29.26;0.389;601.17;28.35;0.49
4362;CC(CCC1C)CC1C;607.47;26.72;0.266;617.54;26.15;0.30
4363;Oc1ccc(C#N)cc1;770.33;50.02;0.647;828.62;48.64;0.65
4364;OC(CCC1)CC1(C)C;672.53;31.4;0.619;661.65;32.64;0.68
4365;Nc1nc(C)cc(C)n1;765.21;46.69;0.566;772.98;46.33;0.50
4366;OC(CC(C)CC1(C)C)C1;682.98;27.53;0.641;671.70;29.51;0.65
4367;CC1CCc2c1cccc2;702.26;33.98;0.32;694.27;34.29;0.31
4368;CC1C=Cc2c1cccc2;694.99;34.38;0.316;703.48;34.58;0.34
4369;CC1=CCc2c1cccc2;701.28;35.11;0.381;704.53;34.08;0.33
4370;CC=C(C)c1ccccc1;701.09;27.66;0.426;672.63;30.19;0.36
4371;ClNc1nc(NCl)nc(NCl)n1;903.66;95.05;1.098;884.06;44.28;0.62
4372;CCC(SC1C)N=C1C;701.55;33.53;0.367;658.65;33.19;0.31
4373;C=CC(c1ccccc1)=O;723.82;36.16;0.44;724.17;37.28;0.36
4374;O(C12)C2c2ccccc2C1;716.53;42.73;0.306;795.36;38.78;0.44
4375;FB(F)c(cc1)ccc1C;701.09;27.66;0.426;592.08;26.20;0.00
4376;CC(C)=Cc1ccccc1;701.09;27.66;0.426;690.15;30.23;0.33
4377;CC(C)Nc1ccccc1;721.26;35.31;0.472;712.82;29.85;0.39
4378;C=CCCc1ccccc1;663.92;30.13;0.373;667.26;29.52;0.38
4379;OCc1ccc(CC)cc1;692.43;33.44;0.744;700.89;33.59;0.73
4380;CC1(C)NC(C)(C)CCC1;678.21;26.47;0.325;631.47;25.92;0.37
4381;BrC1(CC2C3)CC(C2)CC3C1;679.14;32.86;0.097;778.77;32.08;0.28
4382;CC1(CC2C3)CC(C2)CC3C1;642.65;28.03;0.102;711.10;29.47;0.21
4383;FC1(CC2C3)CC(C2)CC3C1;636.06;29.46;0.344;669.22;24.99;0.36
4384;NC1(CC2C3)CC(C2)CC3C1;682.05;32.3;0.455;746.34;30.83;0.44
4385;OC1(CC2C3)CC(C2)CC3C1;687.75;33.99;0.454;738.95;33.74;0.56
4386;O=CC1CCCO1;630.62;47.04;0.495;643.30;45.45;0.46
4387;NC(N)=Nc(sc1)nc1CSCCC(N)=NS(=O)(=O)N;970.14;24.1;1.393;996.43;40.09;0.86
4388;C(CCP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1;1129.62;155.11;0.487;1051.21;22.83;0.88
4389;CN(C)c1c(C)cccc1C;728.91;30.16;0.487;675.17;34.62;0.44
4390;Cc(cc1C)cc(C)c1C=C;705.9;27.6;0.46;679.72;30.47;0.46
4391;Fc1cc(F)c(F)c(O)c1F;662.87;43.34;0.518;605.27;43.25;0.57
4392;Nc1nc2ncncc2nc1;873.44;65.26;0.76;831.25;47.67;0.52
4393;CCC(C#N)c1ccccc1;751.94;28.06;0.522;747.60;26.93;0.49
4394;CC(C)(C)c(cc1)ccc1N;747.47;29.9;0.532;738.72;29.86;0.41
4395;ON(=O)=O;648.46;80.58;0.75;492.01;68.67;0.60
4396;CCC1(CCC(=O)NC1=O)c1ccccc1;915.55;30.29;0.711;871.78;30.05;0.71
4397;ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl;830.91;35.3;0.457;760.80;30.70;0.35
4398;OCC(C)(CO)N(=O)=O;817.7;51.98;1.43;788.10;43.56;1.18
4399;CC1CCC(C2(C)C)C1(CC1)CC2C1(O)C;719.38;20.79;0.588;777.07;24.27;0.77
4400;CCC1(C)CC(=O)NC1=O;841.13;40.81;0.55;811.16;38.76;0.55
4401;CC(C)C(O)C(C)(C)COC(C(C)C)=O;717.51;19.93;0.985;696.82;17.61;0.73
4402;CC1(C)NC(=O)NC1=O;857.63;54.08;0.582;887.10;49.40;0.57
4403;CCC(O)(C)CC;567.65;33.4;0.7;575.68;35.19;0.43
4404;CCC(O)(C)C#C;581.27;39.46;0.75;586.83;38.50;0.56
4405;COC(C)(C)OC;541.75;34.39;0.327;529.00;34.42;0.37
4406;C=CS(=O)(=O)C=C;732.15;45.19;0.639;691.23;43.46;0.36
4407;COS(OC)(=O)=O;719.33;76.58;0.258;637.23;42.91;0.39
4408;O=S1(CC=CC1)=O;800;53.5;0.524;832.95;52.89;0.39
4409;CCOP(=O)(N(C)C)C#N;726.21;34.5;0.752;709.61;35.48;0.38
4410;OCC(C)(CO)CO;708.76;48.55;1.322;754.56;48.52;1.28
4411;OCC(N)(CO)CO;755.27;49.28;1.981;802.50;53.50;1.42
4412;OC(CC(O)=O)(CC(O)=O)C(O)=O;912.46;44.29;1.726;865.75;43.15;1.26
4413;CCOC(CC(O)(CC(OCC)=O)C(OCC)=O)=O;694.69;18.52;1.34;749.65;17.04;0.91
4414;OCC(CO)(CO)CC;722.71;41.92;1.357;730.84;39.11;1.45
4415;Fc1cc(ccc1)NC(=O)N;792.48;45.29;0.789;895.29;38.39;0.74
4416;OC(C)COc1ccccc1;696.16;32.07;0.816;721.47;30.83;0.59
4417;NC1=NC(c2ccccc2O1)=O;930.23;52.74;0.753;833.03;42.10;0.52
4418;Nc(cnc1c2N)nc1ncn2;913.13;67.06;0.993;886.61;45.31;0.59
4419;OC(=O)c1c[nH]c2c1cccc2;558.79;30.96;0.432;884.51;39.08;0.84
4420;Fc1c(F)c(F)c(C)c(F)c1F;558.79;30.96;0.432;560.89;31.22;0.28
4421;Fc1c(F)c(F)c(N)c(F)c1F;667.87;35.35;0.568;639.99;40.88;0.40
4422;Fc1c(F)c(F)c(O)c(F)c1F;656.41;40.42;0.551;617.08;42.53;0.53
4423;Fc1c(F)c(F)c(S)c(F)c1F;658.62;33.9;0.553;594.89;37.50;0.36
4424;Nc1cc2ccccc2cc1N;873.09;40.44;0.696;887.76;34.00;0.58
4425;C(CC1)CC=C1c1ccccc1;751.4;29.04;0.412;755.46;29.69;0.39
4426;N(CC1)CCC1c1ccccc1;779.1;32.07;0.389;811.68;28.49;0.56
4427;ClS(Cl)=O;771.23;76.23;0.421;558.23;46.62;0.09
4428;ClP(Cl)Cl;630.31;57.01;0.223;563.10;56.72;0.23
4429;O(CO1)CCC1c1ccccc1;759.4;34.04;0.479;759.44;31.49;0.52
4430;C(CO1)COC1c1ccccc1;759.4;34.04;0.479;754.61;32.05;0.32
4431;CCN(CC)Cc1ccccc1;709.2;23.12;0.454;695.63;24.39;0.49
4432;OO;542.35;109.69;0.835;729.98;73.08;0.36
4433;BrBr;508.27;94.85;0.118;597.93;102.98;0.14
4434;Clc1cc(Cl)c2cccnc2c1O;880.8;45.17;0.767;841.06;36.42;0.61
4435;Fc1c(F)c(F)c(C#N)c(F)c1F;670.39;30.94;0.706;586.05;29.99;0.41
4436;CC1N=C(C)CO1;629.74;44.15;0.335;595.19;42.35;0.30
4437;CCOC(=O)C(O)c1ccccc1;745.77;31.77;0.999;732.31;27.91;0.69
4438;CCOC(OCC)c1ccccc1;704.06;24.99;0.58;696.41;27.63;0.46
4439;CC(C)(C)OC(=O)c1ccccc1;714.81;26.34;0.486;711.74;27.13;0.46
4440;CC#CCl;542.23;52.62;0.142;505.59;48.12;0.33
4441;CCOC(C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O)=O;939.31;14.43;1.242;791.98;14.12;0.93
4442;OCC(C)(C)C(O)C(=O)NCCC(=O)N;1011.09;35.64;1.925;889.09;29.81;1.31
4443;C1c2ccccc2c2ccccc2C1;838.94;43.79;0.398;836.09;30.23;0.44
4444;BrC(c1ccccc1)c1ccccc1;828.45;29.31;0.458;842.62;31.14;0.46
4445;O=C(c1ccccc1)N1CCCCC1;811.64;29.88;0.539;850.14;27.27;0.51
4446;CC1(C)COC(OC1)c1ccccc1;773.69;26.29;0.507;749.19;28.18;0.40
4447;FC(F)(F)c1cc(ccc1Cl)N(=O)=O;766.2;28.12;0.631;678.60;27.05;0.58
4448;Fc1ccc(cc1)NC(=O)N(C)N=O;798.47;36.33;0.959;800.77;28.33;0.66
4449;CCCCC1(CCCC)OC(CC1)=O;791.21;22.15;0.544;714.99;21.01;0.59
4450;Sc1cscc1;698.9;56.05;0.254;678.84;55.76;0.23
4451;Sc1sccc1;698.9;56.05;0.254;651.08;58.00;0.27
4452;CC(CCc(cc1)ccc1C)=O;723.85;27.39;0.549;737.10;29.85;0.59
4453;CC(C)c(cc1)ccc1CCC=O;733.52;25.23;0.648;749.26;24.34;0.69
4454;CC(OC=O)c1ccccc1;706.89;32.24;0.457;690.21;32.26;0.44
4455;COCC(C)OC;545;34.1;0.366;537.25;33.43;0.37
4456;CCC(C)CCCC(C)C=O;648.7;22.04;0.623;637.12;23.57;0.60
4457;CCCCCCCCC(OCCC(C)C)=O;719.19;16.53;0.757;687.11;14.33;0.79
4458;CC(C)CC(O)Cc1ccccc1;730.9;25.91;0.844;746.23;24.44;0.77
4459;CC(C)(c1ccccc1)c1ccccc1;781.41;23.3;0.482;806.94;24.34;0.42
4460;FF;135.3;62.46;0.205;144.18;51.68;0.05
4461;ClCl;486.26;70.14;0.145;417.15;77.11;0.06
4462;FOF;408.51;53.03;0.209;215.18;57.65;0.27
4463;FS(F)=O;711.49;67.47;0.365;320.43;53.39;0.31
4464;CC1(C)CC=CC(C)C1C=CC(CC)=O;727.85;19.88;0.52;746.39;18.53;0.54
4465;CCCCCCC(C)C=O;634.07;23.75;0.6;635.66;24.69;0.55
4466;COP(OC)(=O)OC(C)=CC(OC)=O;795.48;34.56;0.3;683.62;34.03;0.55
4467;COc1cc(C=C)ccc1O;759.84;38.04;0.59;739.04;35.21;0.63
4468;FS(O)(=O)=O;728.79;81.8;0.985;512.88;55.47;0.35
4469;FN=O;415.64;60.94;0.283;236.89;61.10;0.20
4470;IBr;594.55;100.42;0.107;651.34;89.14;0.24
4471;BrP(Br)Br;753.31;59.27;0.261;660.39;58.26;0.24
4472;Cc1c2ccccc2cc2ccccc12;873.77;28.77;0.48;883.73;28.07;0.48
4473;CC(=Cc1ccccc1)c1ccccc1;818.2;23.23;0.569;812.05;25.01;0.50
4474;Oc1ccccc1C=Nc1ccccc1;976.19;32.28;0.71;839.69;31.96;0.68
4475;ClF;371.81;66.12;0.145;362.22;77.69;0.42
4476;ClO;516;86.39;0.52;456.38;76.01;0.22
4477;OS(Cl)(=O)=O;758.43;87.53;0.951;579.78;61.23;0.43
4478;ICl;587.21;85.3;0.136;465.26;76.78;0.25
4479;ClOCl;579.28;58.82;0.211;529.77;76.68;0.29
4480;ClS(Cl)(=O)=O;748.44;70.96;0.678;544.75;45.76;0.18
4481;CCC(F)(Cl)Cl;487.92;37.16;0.225;451.12;30.11;0.34
4482;CCC1(CC)CCCCC1;634.57;25.77;0.311;645.30;25.71;0.38
4483;O=N(OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)=O;1272.59;34.64;1.606;770.91;23.34;0.73
4484;CCCC(C)(CO)CO;684.49;33.44;1.055;724.49;32.78;0.84
4485;OC1(CCCCC1)C#C;641.79;42.44;0.689;685.94;40.11;0.63
4486;CCC(C)(CC)OC(=O)N;810.53;31.23;0.575;713.76;31.80;0.56
4487;Cc1ccccc1OP(Oc1ccccc1C)(Oc1ccccc1C)=O;660.83;11.27;0.669;815.11;19.56;0.77
4488;CCOP(CC)(OCC)=O;673.33;28.03;0.636;670.31;41.20;0.45
4489;CCOC(C)(OCC)OCC;615.13;23.56;0.583;593.46;28.25;0.57
4490;CCOP(OCC)(OCC)=O;755.54;38.1;0.151;666.69;44.79;0.44
4491;CCCCOCCOP(OCCOCCCC)(OCCOCCCC)=O;882.81;14.04;0.405;741.43;11.92;1.04
4492;CC1(C)CC(=O)C=C(C)C1;744.63;30.96;0.404;705.27;30.08;0.41
4493;CC(C)(C#N)N=NC(C)(C)C#N;975.18;19.58;0.658;701.35;18.45;0.48
4494;CC(C)CCCC(O)(C)CC;649.77;22.72;0.85;616.92;24.53;0.69
4495;OC(C)(CCC=C(C)C)C=C;658.92;23.82;0.887;645.38;24.03;0.68
4496;BrCC(C)Br;587.47;53.22;0.22;651.24;45.70;0.27
4497;CCC(C)Br;530.9;42.46;0.225;572.93;46.31;0.29
4498;BrCC(C)C;529.81;42.25;0.23;567.99;41.15;0.26
4499;CCC(C)C;454.34;34.85;0.236;462.10;33.52;0.23
4500;CC(=C)C=C;485.31;38.57;0.226;483.12;37.94;0.16
4501;CC(=C)C#C;489.22;43.78;0.283;492.42;43.84;0.14
4502;NCC(C)C;578.9;42.55;0.34;513.63;42.16;0.36
4503;CC(C)C#N;572.38;38.36;0.337;565.23;37.59;0.34
4504;OCC(C)C;545.96;44.04;0.598;548.24;42.98;0.59
4505;CC(C)C=O;503.1;40.6;0.384;516.79;42.34;0.28
4506;CC(=C)C=O;539.81;45.56;0.385;529.88;42.51;0.25
4507;CCC(C)Cl;513.41;38.48;0.239;520.59;38.99;0.29
4508;ClCC(C)Cl;581.86;42.86;0.247;571.63;41.62;0.26
4509;ClCC(Cl)=C;595.42;44.83;0.229;571.73;43.76;0.20
4510;OCC(C)Cl;587.31;49.61;0.637;592.69;48.53;0.61
4511;NCC(N)C;551.4;48.81;0.47;587.69;52.17;0.47
4512;OCC(N)C;607.28;49.62;0.778;617.99;53.25;0.68
4513;CCC(O)C;531.8;44.14;0.603;536.28;41.83;0.58
4514;CCC(C)=O;533.72;42.15;0.314;537.59;42.14;0.32
4515;CC(=O)C=C;537.83;45.06;0.366;536.83;44.07;0.28
4516;ClCC(C)=O;597.14;47.32;0.352;628.16;48.10;0.34
4517;NCC(O)C;654.8;54.57;0.695;612.86;55.61;0.79
4518;OC(C)C#N;637.37;50;0.763;637.23;50.29;0.80
4519;CC(=O)C=O;589.66;53.92;0.53;534.81;53.84;0.34
4520;CCC(Cl)Cl;554.04;40.83;0.287;559.41;42.41;0.25
4521;CC(C)(C)c1cc(OC(=O)NC)ccc1;848.31;25.04;0.693;770.12;25.16;0.81
4522;C=CCC1(CC=C)C(=O)N(C)C(=O)NC1=O;943.62;29.91;0.307;851.73;32.63;0.74
4523;OC(C)C(OC(C)C(OC(C)C(O)=O)=O)=O;823.33;26.54;1.545;712.62;31.45;0.89
4524;ON;531.54;98.14;0.661;676.28;88.20;0.52
4525;O=S(=O)(N)N;759.91;89.6;0.964;779.87;48.08;0.37
4526;Cc1c2ccccc2c(C)c2ccccc12;881.19;26.07;0.534;879.45;25.75;0.53
4527;CC(=O)c1c2ccccc2cc2ccccc12;911.56;26.98;0.687;932.58;30.21;0.66
4528;CC(C)OCC(C)C;544.21;27.24;0.394;537.55;28.14;0.38
4529;Brc1c(C)cc(cc1C)NC(=O)N(C)C;898.2;29.38;0.936;803.43;34.88;0.61
4530;O=C(N)Nc(cc1)ccc1Oc1ccccc1;1004.68;34.48;1.016;931.02;31.27;0.83
4531;Fc1ccc(cc1C)NC(=O)N;817.2;39.21;0.84;850.08;36.33;0.70
4532;Brc1ccc(cc1C)NC(=O)N;907.45;45.47;0.93;850.48;41.65;0.64
4533;FC(F)OC(F)(F)OC(F)F;415.19;29.85;0.491;503.75;30.81;0.43
4534;Clc1ccc(cc1)C1SC(=O)N(C1C)C(=O)NC1CCCCC1;678.6;13.23;0.654;957.26;19.95;0.79
4535;ClCC(Cl)Cl;612.75;45.71;0.325;601.83;45.40;0.26
4536;ClC=C(Cl)Cl;623.01;48.8;0.227;581.08;48.70;0.23
4537;ClC(Cl)C=O;586.87;48.57;0.442;555.79;50.06;0.34
4538;CCC(Cl)=O;565.99;47.52;0.339;544.37;45.37;0.40
4539;ClCC(Cl)=O;608.68;53.9;0.349;581.22;51.13;0.35
4540;CCC(=O)N;772.2;55.14;0.455;715.37;53.04;0.44
4541;C=CC(=O)N;773.39;59.88;0.43;702.01;57.64;0.40
4542;ClCC(=O)N;796.85;63.48;0.467;768.58;59.55;0.48
4543;BrCC(O)=O;697.76;64.28;0.564;676.17;53.88;0.54
4544;CCC(O)=O;664.31;49.81;0.57;600.21;46.70;0.58
4545;OC(=O)C=C;641.95;54.3;0.56;610.14;56.27;0.57
4546;ClCC(O)=O;702.46;56.78;0.607;686.11;57.82;0.55
4547;OCC(O)=O;705.72;67.95;0.914;633.37;73.11;1.00
4548;BrNC(C)=O;623.13;62.49;0.518;651.46;51.24;0.55
4549;CNC(C)=O;718;49.8;0.434;718.89;50.11;0.43
4550;NNC(N)=S;645.15;72.64;0.591;778.30;65.78;0.56
4551;COC(C)=O;482.82;44.36;0.367;516.86;47.48;0.34
4552;OOC(C)=O;590.19;63.89;0.726;561.93;57.42;0.51
4553;COC(Cl)=O;545.48;51.25;0.314;525.64;54.58;0.42
4554;CCN(=O)=O;587.74;51.23;0.354;589.56;51.00;0.36
4555;BrC(Br)C(Br)Br;683.37;78.2;0.232;742.62;42.61;0.36
4556;BrC(Br)=C(Br)Br;700.17;173.82;0.212;691.19;44.10;0.27
4557;CC(C)C(C)C;499.19;32.09;0.262;501.20;31.56;0.24
4558;CC(C)C(Cl)=O;575.05;41.79;0.355;559.33;40.14;0.38
4559;CC(C)C(O)=O;609.03;40.28;0.623;605.30;40.26;0.61
4560;ClC(Cl)C(Cl)Cl;638.09;42.51;0.368;645.26;40.83;0.25
4561;FC(F)=C(Cl)Cl;586.32;43.61;0.255;424.30;40.54;0.25
4562;ClC(Cl)C(Cl)=O;651.84;53.38;0.374;584.75;46.10;0.31
4563;ClC(=O)C(Cl)=O;645.44;50.25;0.478;555.58;54.06;0.36
4564;FC(F)=C(F)Cl;518.79;41.78;0.254;379.15;41.82;0.24
4565;CC(=C)C(=O)N;783.57;50.36;0.451;735.99;48.42;0.44
4566;NC(=S)C(N)=S;625.68;89.59;0.487;762.20;55.84;0.51
4567;OC(=O)C(C)=C;659.63;46.16;0.594;651.22;43.71;0.52
4568;CC(S)C(O)=O;716.94;52.6;0.572;703.98;52.18;0.68
4569;ClC(Cl)C(O)=O;665.42;48.13;0.674;680.22;51.68;0.57
4570;CN(C)C(Cl)=O;687.53;45.04;0.398;642.04;46.28;0.39
4571;CC(C)N(=O)=O;593.17;44.28;0.369;607.61;44.51;0.41
4572;FC(F)(F)C(C(F)(F)Cl)=O;510.94;35.99;0.429;450.53;30.47;0.46
4573;CC1(C)CCCC(C)(C)N1C;680.27;23.05;0.283;666.80;24.62;0.32
4574;CC1CC=C(C)C(C1(C)C)C=CC(C)=O;739.43;19.64;0.627;735.86;21.17;0.54
4575;CC1(C)CCC=C(C)C1C=CC(CCC=C)=O;760.2;18.04;0.651;763.74;14.78;0.61
4576;CC1(C)OC(CC1C(O)=O)=O;830.12;38.17;0.709;777.31;42.34;0.74
4577;CC1(C)C2CC(CC2)C1=C;653.99;27.83;0.267;642.53;27.47;0.35
4578;O=P(c1ccccc1)(c1ccccc1)c1ccccc1;729.93;17.21;0.485;939.27;31.91;0.60
4579;ClC(Cl)(Cl)C(Cl)(Cl)Br;752.13;45.16;0.324;733.34;35.17;0.27
4580;OC(COC(C)(C)C)COC(C)(C)C;676.6;20.69;0.953;668.73;21.39;0.77
4581;CC(C)OCCOC(=O)c1ccccc1O;799.25;25.7;0.934;792.95;25.03;0.88
4582;CC(C)(c(cc1)ccc1O)c(cc1)ccc1O;875.76;28.84;0.817;862.05;32.50;0.79
4583;OOC(C)(C)c1ccccc1;699.88;33.51;0.783;716.39;34.10;0.82
4584;Clc1ccc(nn1)NS(c(cc1)ccc1N)(=O)=O;693.82;22.09;0.81;982.75;36.35;0.83
4585;CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1;839.35;16.85;0.618;746.66;15.64;0.80
4586;CCC(C)(C)c(cc1)ccc1O;744.37;28.57;0.553;751.10;29.94;0.59
4587;OOC(C)(C)C(CC1)CCC1C;702.28;27.03;0.764;710.15;28.01;0.87
4588;CCOC(C(O)(C)C)=O;626.05;33.4;0.822;596.90;31.06;0.62
4589;CCC(Br)C(O)=O;669.13;43.27;0.655;648.50;39.78;0.61
4590;CC=C(C)C(O)=O;679.17;38.73;0.684;669.91;42.32;0.57
4591;COC(=O)C(C)=C;552.42;36.71;0.35;565.99;37.46;0.28
4592;COC(=O)C(Cl)=C;597.43;40.6;0.359;603.27;43.51;0.44
4593;OC(C(O)=O)C(O)=O;822.28;64.59;1.334;802.48;65.89;1.32
4594;CN(C)C(=N)N(C)C;755.06;43.25;0.691;712.60;35.32;0.48
4595;CN1CCN(C)C1=O;776.12;43.37;0.228;749.62;42.97;0.37
4596;O=N(=O)c1oc(cc1)C=NN1CCOC1=O;804.36;37.06;1.165;882.77;29.97;0.81
4597;O=C(c1ccccc21)NS2(=O)=O;936.36;50.63;0.597;968.32;52.35;0.62
4598;CC(C)(C)c(c(c1C)N(=O)=O)c(c(C)c1C(C)=O)N(=O)=O;901.41;18.95;1.108;839.31;25.78;0.83
4599;CC(C)(C)c(c(c1C)N(=O)=O)c(c(C)c1N(=O)=O)N(=O)=O;905.56;20.07;1.161;742.48;30.25;0.78
4600;Cc1cccc(C)c1N(=O)=O;754.79;35.11;0.54;702.14;31.88;0.48
4601;Oc1ccc(O)c(C2=O)c1C(=O)c1c2c(O)ccc1O;1047.6;79.37;1.094;948.26;41.81;0.92
4602;Oc1ccc(O)c2c1C(=O)c1ccccc1C2=O;977.74;44.75;1.324;922.64;39.39;0.85
4603;CC(=O)CC(c1ccccc1)C1=C(O)c2ccccc2OC1=O;878.06;19.2;1.446;897.71;18.42;0.86
4604;CP(C)Cl;529.11;44.27;0.224;599.02;47.36;0.20
4605;ClCC(F)(Cl)Cl;563.18;41.26;0.262;539.23;36.19;0.26
4606;FC(F)(Cl)C=O;475.5;42;0.391;407.49;48.42;0.36
4607;FCC(F)(F)F;376.36;36.55;0.266;374.58;40.53;0.33
4608;FC(F)C(F)(Cl)Cl;501.19;37.38;0.331;465.81;37.36;0.27
4609;FC(F)(F)S(F)=O;720.65;43.13;0.268;376.34;42.87;0.36
4610;FC(F)(F)C(F)(C(F)(F)F)C(C(F)(C(F)(F)F)C(F)(F)F)=O;508.48;18.22;0.683;631.10;22.10;0.71
4611;COP(O)(OC)=O;722.63;53.9;0.954;663.61;48.96;0.41
4612;CCCCP(CCCC)(CCCC)=O;667.27;15.78;0.673;790.64;22.46;0.73
4613;CCOP(Cl)(OCC)=O;685.23;33.5;0.593;639.72;41.91;0.49
4614;SCC(C)S;661.33;47.5;0.265;668.25;48.51;0.32
4615;ClC(=O)C=C;562.34;47.39;0.315;540.55;46.69;0.38
4616;CC(=O)C(C)=C;564.98;39.06;0.4;568.59;38.91;0.28
4617;CCOc1c[nH]nc1;743.45;37.96;0.716;740.81;43.54;0.54
4618;CC(C)(C)C(=O)C(O)=O;743.45;37.96;0.716;646.32;35.28;0.66
4619;CC(C)(C)C(C(C)(C)C)=O;649.78;25.48;0.378;621.10;27.90;0.33
4620;CCC(CC)C(OC)=O;587.23;27.83;0.467;584.51;27.77;0.38
4621;CCC(CC)=CC;544.15;28.01;0.359;556.01;30.04;0.28
4622;CCOCC(OCC)=O;596.95;29.85;0.518;620.54;31.97;0.42
4623;OCCOC(=O)C=C;663.89;39.2;0.863;652.20;42.64;0.75
4624;FCC=C;435.44;45.6;0.236;423.73;40.14;0.25
4625;ClCCC(F)(F)Cl;546.97;35.01;0.318;495.98;33.09;0.31
4626;CN(C)CC(F)(F)F;476.99;28.46;0.337;470.23;30.75;0.24
4627;FCCOC(F)(F)F;466.33;31.28;0.396;397.65;32.93;0.44
4628;O=C1c2c3c(ccc2)cccc3c2ccccc12;968.69;30.3;0.384;985.65;31.44;0.64
4629;O=C1c2cccc(c2C(=O)c2ccccc12)N(=O)=O;994.11;33.12;0.848;913.96;27.83;0.90
4630;CNc1cccc2c1C(=O)c1ccccc1C2=O;954.72;31.37;0.962;940.60;28.92;0.71
4631;COc1cccc2c1C(=O)c1ccccc1C2=O;936.32;28.84;0.87;945.07;28.60;0.67
4632;Nc1cccc2c1C(=O)c1ccccc1C2=O;954.93;33.46;0.94;942.23;33.74;0.75
4633;O=C(C1C(=O)c2ccccc2C1=O)C(c1ccccc1)c1ccccc1;987.66;19.88;1.088;895.89;21.22;0.90
4634;Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)N(=O)=O;856.72;29.21;0.755;829.34;32.30;0.58
4635;Oc1c(c(O)c(cc1N(=O)=O)N(=O)=O)N(=O)=O;935.32;48.36;1.719;787.39;41.23;0.96
4636;CC(=O)C=CC(C)=O;656.31;36.02;0.619;646.41;35.87;0.48
4637;CCCC=CC(=O)N;805.95;36.85;0.57;712.19;34.63;0.55
4638;C=CC#CC=C;555.45;40.03;0.177;541.83;34.97;0.20
4639;OCCCC=C;583.54;40.26;0.642;574.67;40.33;0.66
4640;ClCC#CCCl;656.49;43.75;0.236;648.78;42.69;0.34
4641;OCC=CCO;644.42;50.47;0.975;725.33;54.52;0.76
4642;OC(CCCCCCCCCCCC(O)=O)=O;874.35;18.94;1.322;853.79;20.25;1.08
4643;OCCCCC=C;607.01;35.41;0.684;600.27;35.00;0.69
4644;CCCCCCCC(C)=O;651.29;24.24;0.532;652.59;24.94;0.51
4645;CCCCCCCCCC=C;636.28;20.49;0.498;637.28;20.52;0.52
4646;O=C=NCCCCCCN=C=O;700.81;29.6;0.773;743.60;24.88;0.63
4647;C1C=CC1;463;55.17;0.175;470.45;51.51;0.18
4648;Cc1c[nH]cn1;663.28;63.85;0.253;707.53;57.66;0.40
4649;S=C1SCCS1;663.28;63.85;0.253;686.06;53.57;0.38
4650;OC1CC=CCC1;648.32;45.39;0.579;662.12;45.63;0.47
4651;OC1C=CCCC1;648.32;45.39;0.579;665.65;44.85;0.44
4652;O=N(=O)c1cscc1;780.43;56.87;0.429;774.20;47.91;0.33
4653;ClC1CCCCC1=O;747.66;43.23;0.335;707.00;39.43;0.30
4654;CC1OC(CCC1)=O;732.51;42.69;0.322;697.00;41.39;0.35
4655;Nc1cccc(N)c1C;794.09;46.68;0.646;807.13;45.27;0.61
4656;CC(C1CCCCC1)=O;662.05;33.33;0.433;671.83;33.63;0.34
4657;ClCCP(O)(O)=O;676.22;45.92;1.168;814.78;52.23;0.63
4658;Cc1c2CCCc2ccc1;720.9;35.25;0.356;698.22;34.82;0.38
4659;COc1cc(O)ccc1O;788.76;59.12;0.676;785.62;53.73;0.78
4660;ClCc1ccc(C)cc1C;718.65;30.66;0.398;699.19;28.22;0.40
4661;CC(Cc1cc2)Cc1cc2;702.26;33.98;0.325;690.80;35.47;0.32
4662;ClP(Cl)(=O)c1ccccc1;830.57;39.73;0.462;762.97;38.07;0.38
4663;Fc1ccc(cc1)C(=O)N;821.39;45.92;0.609;873.50;41.56;0.59
4664;O=S1(=O)C=Cc2ccccc12;860.75;41.89;0.48;876.20;41.30;0.46
4665;CC(C)(C)ON=NOC(C)(C)C;784.22;19.86;0.483;636.72;24.64;0.56
4666;CCC(C)(CC)c1cc(on1)NC(c1c(OC)cccc1OC)=O;1115.01;17.85;1.171;879.25;18.84;0.94
4667;CCCC=Cc1ccccc1;705.3;27;0.423;699.29;27.14;0.43
4668;CC1(C)CC(CC(C)(C)N1)=O;782.92;28.48;0.43;726.07;27.16;0.47
