;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
195;CC(=O)Cc1ccccc1;693.59;34.09;0.452;720.57;32.12;0.50
196;O=C(Cc1ccccc1)N;842.29;42.78;0.598;838.36;40.85;0.64
197;OC(=O)Cc1ccccc1;767.82;39.29;0.703;783.65;41.26;0.76
198;CN(C)Cc1ccccc1;683.73;30.21;0.414;675.07;32.40;0.37
199;CC(=O)Nc1ccccc1;735.85;40.11;0.576;808.26;36.48;0.57
200;NC(=S)Nc1ccccc1;753.93;57.09;0.496;870.50;37.61;0.55
201;Brc1ccc(cc1)NC(C)=O;822.49;43;0.717;768.48;40.58;0.73
202;Cc1ccc(cc1)NC(C)=O;761.01;35.01;0.627;779.83;32.78;0.70
203;Oc1ccc(cc1)NC(C)=O;827.84;48.9;0.843;757.93;42.59;0.81
204;CC(C)C(=O)Oc(cc1)ccc1C;731.52;25.21;0.554;708.83;29.53;0.59
205;OC1=CCCCC1=O;762.56;54.46;0.734;756.99;51.57;0.63
206;CCCCCC=CCCO;669.55;25.2;0.803;658.72;25.68;0.71
207;CC(=O)c(cc1)ccc1N1CCCCC1;839.8;25.01;0.589;831.88;22.98;0.77
208;CC(C)N(C)C(C)C;556.8;26.62;0.377;565.20;27.84;0.30
209;N#CC1(CC2)CC2CC1;673.55;32.66;0.416;739.37;35.55;0.39
210;CC(C#N)(C#N)C#N;734.02;30.74;0.661;704.37;33.35;0.61
211;OCC(C)(C)Cc(ccc1)cc1C;739.75;25.66;0.821;749.21;24.92;0.67
212;OP(O)(OP(O)(OP(O)(O)=O)=O)=O;534.5;24.57;2.821;902.31;43.30;0.42
213;COc1ccc(CC(O)=O)cc1;794.43;33.76;0.816;769.20;39.01;0.89
214;CC(=O)Nc1ccc(cc1)N(=O)=O;918.65;39.96;0.863;866.22;29.85;0.79
215;O=CCc(cc1)ccc1C;696.14;34.51;0.551;708.57;34.03;0.55
216;OCCc(cc1)ccc1N;769.56;40.56;0.881;775.86;40.45;0.96
217;Clc1ccc(cc1)N=C=O;698.53;36.98;0.477;690.71;37.66;0.47
218;CCCCc(cc1)ccc1N;751.14;29.18;0.577;739.23;28.75;0.55
219;Cc1ccc(cc1)S(O)(=O)=O;747.63;37.68;0.71;810.44;43.16;0.47
220;COc1ccc(CCC(C)=O)cc1;742.75;26.84;0.613;744.28;28.33;0.61
221;COc1ccc(COC(C)=O)cc1;734.94;27.87;0.664;719.32;29.67;0.65
222;CCCc(cc1)ccc1OC;688.15;28.13;0.463;700.93;29.04;0.47
223;COc1ccc(C=CC)cc1;713.34;29.31;0.461;716.36;28.98;0.49
224;COc1ccc(CC#N)cc1;763.47;30.04;0.584;753.51;29.29;0.59
225;CCCCC1OC(CC1)=O;756.72;31.82;0.409;680.09;31.41;0.49
226;CCCCc1ccccc1;661.65;28.86;0.387;661.01;28.70;0.39
227;ClCCCc1ccccc1;700.21;31.4;0.425;715.26;29.35;0.43
228;O=CCCc1ccccc1;695.06;34.54;0.541;707.98;33.82;0.54
229;O=CC=Cc1ccccc1;719.72;36.24;0.537;706.69;35.41;0.44
230;O=COCc1ccccc1;698;35.9;0.439;698.73;36.65;0.42
231;CCCCCC1OC(CC1)=O;768.12;28.6;0.453;693.67;28.51;0.56
232;O=COCCc1ccccc1;692.82;33.06;0.483;714.34;31.50;0.56
233;C(COc1ccccc1)Oc1ccccc1;788.94;26.85;0.669;785.31;25.40;0.72
234;CCCCCCCC1OC(CC1)=O;789.35;23.73;0.539;707.71;24.64;0.66
235;C(CN=Cc1ccccc1)N=Cc1ccccc1;1028.77;18.87;0.662;830.21;22.58;0.65
